id,parent,region
628,22,МОНАСТИРИЩЕ
629,22,ТАЛЬНЕ
630,22,ХРИСТИНІВКА
631,22,ЧОРНОБАЙ
632,22,ЧИГИРИН
633,22,ШПОЛА
634,23,НОВОДНІСТРОВСЬК
635,23,ВИЖНИЦЯ
636,23,ВАШКІВЦІ
637,23,ГЕРЦА
638,23,ГЛИБОКА
639,23,ЗАСТАВНА
640,23,КЕЛЬМЕНЦІ
641,23,КІЦМАНЬ
642,23,НОВОСЕЛИЦЯ
643,23,ПУТИЛА
644,23,СОКИРЯНИ
645,23,СТОРОЖИНЕЦЬ
646,23,ХОТИН
647,24,ЧЕРНІГІВ
648,24,НІЖИН
649,24,НОВГОРОД-СІВЕРСЬКИЙ
650,24,ПРИЛУКИ
651,24,БАХМАЧ
652,24,БАТУРИН
653,24,БОБРОВИЦЯ
654,24,БОРЗНА
655,24,ВАРВА
656,24,ГОРОДНЯ
657,24,ІЧНЯ
658,24,ОСТЕР
659,24,КОРОП
660,24,КОРЮКІВКА
661,24,КУЛИКІВКА
662,24,МЕНА
663,24,НОСІВКА
664,24,ЛАДАН
665,24,РІПКИ
666,24,СОСНИЦЯ
667,24,СРІБНЕ
668,24,ТАЛАЛАЇВКА
669,24,СНОВСЬК
